algo_name,hyperparameter_name,hyperparameter_value_exp,avg_reward
sample average $\epsilon$-greedy,epsilon,-7,5.507503
sample average $\epsilon$-greedy,epsilon,-7,4.102262
sample average $\epsilon$-greedy,epsilon,-7,4.01359
sample average $\epsilon$-greedy,epsilon,-7,5.8924823
sample average $\epsilon$-greedy,epsilon,-7,3.5427234
sample average $\epsilon$-greedy,epsilon,-7,6.284559
sample average $\epsilon$-greedy,epsilon,-7,3.7421405
sample average $\epsilon$-greedy,epsilon,-7,3.3691862
sample average $\epsilon$-greedy,epsilon,-7,1.3524884
sample average $\epsilon$-greedy,epsilon,-7,7.1306057
sample average $\epsilon$-greedy,epsilon,-7,4.788389
sample average $\epsilon$-greedy,epsilon,-7,2.0642421
sample average $\epsilon$-greedy,epsilon,-7,3.67231
sample average $\epsilon$-greedy,epsilon,-7,3.8865273
sample average $\epsilon$-greedy,epsilon,-7,0.76008034
sample average $\epsilon$-greedy,epsilon,-7,5.5501423
sample average $\epsilon$-greedy,epsilon,-7,4.840321
sample average $\epsilon$-greedy,epsilon,-7,1.5455947
sample average $\epsilon$-greedy,epsilon,-7,1.3724587
sample average $\epsilon$-greedy,epsilon,-7,7.36668
sample average $\epsilon$-greedy,epsilon,-7,0.27621913
sample average $\epsilon$-greedy,epsilon,-7,5.8737574
sample average $\epsilon$-greedy,epsilon,-7,1.5333549
sample average $\epsilon$-greedy,epsilon,-7,5.1753025
sample average $\epsilon$-greedy,epsilon,-7,1.7645725
sample average $\epsilon$-greedy,epsilon,-7,7.2219076
sample average $\epsilon$-greedy,epsilon,-7,5.4290566
sample average $\epsilon$-greedy,epsilon,-7,6.079365
sample average $\epsilon$-greedy,epsilon,-7,1.1976359
sample average $\epsilon$-greedy,epsilon,-7,4.91947
sample average $\epsilon$-greedy,epsilon,-7,7.033887
sample average $\epsilon$-greedy,epsilon,-7,0.98368716
sample average $\epsilon$-greedy,epsilon,-7,0.8567335
sample average $\epsilon$-greedy,epsilon,-7,0.20446546
sample average $\epsilon$-greedy,epsilon,-7,9.8534775
sample average $\epsilon$-greedy,epsilon,-7,6.685259
sample average $\epsilon$-greedy,epsilon,-7,3.978442
sample average $\epsilon$-greedy,epsilon,-7,2.5259974
sample average $\epsilon$-greedy,epsilon,-7,6.1781387
sample average $\epsilon$-greedy,epsilon,-7,4.9140368
sample average $\epsilon$-greedy,epsilon,-7,8.314691
sample average $\epsilon$-greedy,epsilon,-7,6.684075
sample average $\epsilon$-greedy,epsilon,-7,2.299003
sample average $\epsilon$-greedy,epsilon,-7,2.448263
sample average $\epsilon$-greedy,epsilon,-7,1.6523803
sample average $\epsilon$-greedy,epsilon,-7,8.6327915
